Name,Category,Workload,CoursePreferences
Name1,X3,1.5,"CS H102,CS F101,HSS F401,CS F201,CS F304,CS F102,CS F103,CS H301,CS H101,CS F203,CS F202,CS H202"
Name2,X1,0.5,"CS F202,CS F204,CS F103,HSS F402,CS F302,HSS F404,HSS F401,HSS H401,CS H102,CS H202,CS F203,HSS F403"
Name3,X1,0.5,"HSS F403,HSS F402,CS F103,CS F202,CS H101,CS F203,HSS H401,HSS F401,CS F301,CS H202,CS F104,HSS F404"
Name4,X1,0.5,"CS H301,CS H302,CS F201,HSS F403,HSS F404,CS F301,CS F103,CS H101,CS H201,CS F304,CS F303,CS F202"
Name5,X3,1.5,"CS F103,CS F102,CS H202,CS F201,CS H302,CS F204,CS F304,CS H301,HSS F404,CS F303,CS F101,CS F301"
Name6,X1,0.5,"CS F303,HSS F401,CS F203,CS F102,HSS H402,CS F204,CS F202,CS H202,CS F201,CS F103,HSS F404,CS F304"
Name7,X1,0.5,"CS F301,CS H202,CS F204,HSS F401,HSS F403,CS F102,CS F104,CS H201,CS F101,CS H301,CS F203,CS F201"
Name8,X3,1.5,"CS F104,CS H302,CS F204,HSS F402,CS F302,CS F102,CS F203,CS F201,HSS H401,CS F303,CS H201,CS F202"
Name9,X2,1.0,"CS F203,CS F301,CS H202,CS F303,CS F102,CS F304,CS H101,CS F302,HSS F403,CS H102,CS F104,CS H301"
Name10,X2,1.0,"HSS F402,CS F301,CS H201,CS H202,CS F202,CS H102,CS F104,HSS F403,CS H301,CS F204,CS F201,CS F302"
Name11,X3,1.5,"CS F203,CS H302,CS F304,HSS F403,CS F101,CS H202,CS F204,HSS H401,HSS F402,CS F201,CS F104,CS F303"
Name12,X2,1.0,"HSS F402,CS F102,CS F204,CS F202,CS F302,CS F301,HSS F404,CS F304,CS H101,CS F203,HSS F401,CS H102"
Name13,X3,1.5,"HSS H401,CS H101,CS F101,CS H302,CS F104,CS F301,HSS F404,CS F102,CS F204,HSS F402,CS F303,HSS F401"
Name14,X1,0.5,"CS F304,HSS H402,HSS F401,CS H101,CS H202,HSS H401,CS F302,HSS F402,CS F101,CS F204,CS H302,CS H201"
Name15,X2,1.0,"CS H302,CS F303,CS F304,CS F301,HSS F401,HSS F403,CS H201,CS H101,CS H202,CS F103,CS F102,HSS H402"
Name16,X3,1.5,"CS H201,CS H301,CS F204,CS F104,HSS F404,CS F101,CS F202,HSS H401,HSS F403,CS F102,CS H202,HSS F401"
Name17,X3,1.5,"CS F302,HSS F402,CS F102,HSS H401,CS F101,CS F201,CS F202,CS H201,CS F304,CS H102,HSS F404,CS H302"
Name18,X1,0.5,"CS F303,CS H102,CS F103,HSS F403,CS H301,HSS H401,HSS H402,CS F202,HSS F401,CS F102,CS H202,CS H101"
Name19,X2,1.0,"CS H302,CS F101,CS H101,CS F103,CS F304,HSS F402,CS F204,HSS H402,CS F203,CS F102,CS F201,CS F301"
Name20,X2,1.0,"HSS F404,HSS F403,CS F103,CS F202,CS F203,CS H202,CS F303,CS F102,CS F304,CS H301,CS F201,HSS H401"
Name21,X3,1.5,"CS H101,CS F103,CS F304,CS F101,CS H201,CS F203,HSS F401,CS H301,CS F204,CS F301,CS F104,CS F302"
Name22,X1,0.5,"CS H102,HSS F401,CS F302,HSS H402,CS H101,CS F304,CS H301,CS F204,CS F203,CS F101,CS F102,CS F202"
Name23,X1,0.5,"CS F302,CS H302,HSS H402,CS F304,HSS F403,CS F102,CS F104,CS F103,CS H301,CS H202,HSS F404,CS F101"
Name24,X1,0.5,"CS H301,HSS F404,CS F301,CS H102,CS F101,CS F103,HSS F401,CS F204,CS F304,HSS H402,HSS F403,CS H201"
Name25,X2,1.0,"CS F301,CS F101,CS F302,CS F201,CS F202,CS F303,CS H301,HSS H401,HSS F404,CS H101,CS F203,CS F102"
Name26,X3,1.5,"CS F204,CS F101,CS H102,HSS F403,CS F203,HSS F402,CS F302,CS F202,CS H202,HSS H402,HSS F401,CS H201"
Name27,X1,0.5,"CS F301,CS H302,CS H201,HSS H401,CS F101,HSS H402,CS F203,CS F103,CS F201,HSS F402,CS H202,CS F104"
Name28,X1,0.5,"CS F204,CS H102,CS F203,CS H301,CS H101,CS F304,CS F202,CS F102,CS F201,HSS H401,CS F101,CS H201"
Name29,X2,1.0,"CS H301,HSS F401,CS F203,HSS H402,HSS F404,HSS F403,CS F104,CS F302,CS H302,HSS H401,CS H201,CS F201"
Name30,X2,1.0,"HSS F404,CS H301,CS H102,CS H101,CS F102,CS F103,CS F104,HSS F402,HSS F401,CS F302,CS F304,CS F101"
